month,year,quarter,cpi
1,1999,1,161
2,1999,1,161.1
3,1999,1,161.4
4,1999,2,162.7
5,1999,2,162.8
6,1999,2,162.8
7,1999,3,163.3
8,1999,3,163.8
9,1999,3,164.7
10,1999,4,165
11,1999,4,165.1
12,1999,4,165.1
1,2000,1,165.6
2,2000,1,166.5
3,2000,1,167.9
4,2000,2,168
5,2000,2,168.2
6,2000,2,169.2
7,2000,3,169.4
8,2000,3,169.3
9,2000,3,170.4
10,2000,4,170.6
11,2000,4,170.9
12,2000,4,170.7
1,2001,1,171.7
2,2001,1,172.4
3,2001,1,172.6
4,2001,2,173.5
5,2001,2,174.4
6,2001,2,174.6
7,2001,3,173.8
8,2001,3,173.8
9,2001,3,174.8
10,2001,4,174
11,2001,4,173.7
12,2001,4,172.9
1,2002,1,173.2
2,2002,1,173.7
3,2002,1,174.7
4,2002,2,175.8
5,2002,2,175.8
6,2002,2,175.9
7,2002,3,176.1
8,2002,3,176.6
9,2002,3,177
10,2002,4,177.3
11,2002,4,177.4
12,2002,4,177
1,2003,1,177.7
2,2003,1,179.2
3,2003,1,180.3
4,2003,2,179.8
5,2003,2,179.4
6,2003,2,179.6
7,2003,3,179.6
8,2003,3,180.3
9,2003,3,181
10,2003,4,180.7
11,2003,4,180.2
12,2003,4,179.9
1,2004,1,180.9
2,2004,1,181.9
3,2004,1,182.9
4,2004,2,183.5
5,2004,2,184.7
6,2004,2,185.3
7,2004,3,184.9
8,2004,3,185
9,2004,3,185.4
10,2004,4,186.5
11,2004,4,186.8
12,2004,4,186
1,2005,1,186.3
2,2005,1,187.3
3,2005,1,188.6
4,2005,2,190.2
5,2005,2,190
6,2005,2,190.1
7,2005,3,191
8,2005,3,192.1
9,2005,3,195
10,2005,4,195.2
11,2005,4,193.4
12,2005,4,192.5
1,2006,1,194
2,2006,1,194.2
3,2006,1,195.3
4,2006,2,197.2
5,2006,2,198.2
6,2006,2,198.6
7,2006,3,199.2
8,2006,3,199.6
9,2006,3,198.4
10,2006,4,197
11,2006,4,196.8
12,2006,4,197.2
1,2007,1,197.559
2,2007,1,198.544
3,2007,1,200.612
4,2007,2,202.13
5,2007,2,203.661
6,2007,2,203.906
7,2007,3,203.7
8,2007,3,203.199
9,2007,3,203.889
10,2007,4,204.338
11,2007,4,205.891
12,2007,4,205.777
1,2008,1,206.744
2,2008,1,207.254
3,2008,1,209.147
4,2008,2,210.698
5,2008,2,212.788
6,2008,2,215.223
7,2008,3,216.304
8,2008,3,215.247
9,2008,3,214.935
10,2008,4,212.182
11,2008,4,207.296
12,2008,4,204.813
1,2009,1,205.7
2,2009,1,206.708
3,2009,1,207.218
4,2009,2,207.925
5,2009,2,208.774
6,2009,2,210.972
7,2009,3,210.526
8,2009,3,211.156
9,2009,3,211.322
10,2009,4,211.549
11,2009,4,212.003
12,2009,4,211.703
1,2010,1,212.568
2,2010,1,212.544
3,2010,1,213.525
4,2010,2,213.958
5,2010,2,214.124
6,2010,2,213.839
7,2010,3,213.898
8,2010,3,214.205
9,2010,3,214.306
10,2010,4,214.623
11,2010,4,214.75
12,2010,4,215.262
1,2011,1,216.4
2,2011,1,217.535
3,2011,1,220.024
4,2011,2,221.743
5,2011,2,222.954
6,2011,2,222.522
7,2011,3,222.686
8,2011,3,223.326
9,2011,3,223.688
10,2011,4,223.043
11,2011,4,222.813
12,2011,4,222.166
1,2012,1,223.216
2,2012,1,224.317
3,2012,1,226.304
4,2012,2,227.012
5,2012,2,226.6
6,2012,2,226.036
7,2012,3,225.568
8,2012,3,227.056
9,2012,3,228.184
10,2012,4,227.974
11,2012,4,226.595
12,2012,4,225.889
1,2013,1,226.52
2,2013,1,228.677
3,2013,1,229.323
4,2013,2,228.949
5,2013,2,229.399
6,2013,2,230.002
7,2013,3,230.084
8,2013,3,230.359
9,2013,3,230.537
10,2013,4,229.735
11,2013,4,229.133
12,2013,4,229.174
1,2014,1,230.04
2,2014,1,230.871
3,2014,1,232.56
4,2014,2,233.443
5,2014,2,234.216
6,2014,2,234.702
7,2014,3,234.525
8,2014,3,234.03
9,2014,3,234.17
10,2014,4,233.229
11,2014,4,231.551
12,2014,4,229.909
1,2015,1,228.294
2,2015,1,229.421
3,2015,1,231.055
4,2015,2,231.52
5,2015,2,232.908
6,2015,2,233.804
7,2015,3,233.806
8,2015,3,233.366
9,2015,3,232.661
10,2015,4,232.373
11,2015,4,231.721
12,2015,4,230.791
1,2016,1,231.061
2,2016,1,230.972
3,2016,1,232.209
4,2016,2,233.438
5,2016,2,234.436
6,2016,2,235.289
7,2016,3,234.771
8,2016,3,234.904
9,2016,3,235.495
10,2016,4,235.732
11,2016,4,235.215
12,2016,4,235.39
