FID,STATEFP10,PUMACE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
0,53,10100,5310100,Whatcom County--Bellingham City PUMA,G6120,S,5456733620.000000000000000,1027224451.000000000000000,+48.8426531,-121.8364325
1,53,10200,5310200,"Skagit, Island & San Juan Counties PUMA",G6120,S,5474111679.000000000000000,2447554748.000000000000000,+48.4470835,-122.1737477
2,53,10300,5310300,Chelan & Douglas Counties PUMA,G6120,S,12275996926.000000000000000,266115435.000000000000000,+47.8207101,-120.2680419
3,53,10400,5310400,"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA",G6120,S,29393489768.000000000000000,490067322.000000000000000,+48.5031113,-118.7866723
4,53,10501,5310501,Spokane County (North Central)--Spokane City (North) PUMA,G6120,S,107023039.000000000000000,899166.000000000000000,+47.7271030,-117.4260920
5,53,10502,5310502,Spokane County (South Central)--Spokane City (South) PUMA,G6120,S,207076708.000000000000000,1748796.000000000000000,+47.6398543,-117.4466701
6,53,10503,5310503,Spokane County (East Central)--Greater Spokane Valley City PUMA,G6120,S,270901398.000000000000000,4981141.000000000000000,+47.6561312,-117.1848928
7,53,10504,5310504,Spokane County (Outer)--Cheney City PUMA,G6120,S,3983197504.000000000000000,36173602.000000000000000,+47.4528139,-117.6335913
8,53,10600,5310600,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA",G6120,S,22300028650.000000000000000,178840014.000000000000000,+46.9464148,-118.0223129
9,53,10701,5310701,"Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities PUMA",G6120,S,239820465.000000000000000,18784511.000000000000000,+46.3417341,-119.3819859
10,53,10702,5310702,Benton County (East Central)--Kennewick & Richland (South) Cities PUMA,G6120,S,266360802.000000000000000,23181935.000000000000000,+46.1709623,-119.1426508
11,53,10703,5310703,"Walla Walla, Benton (Outer) & Franklin (Outer) Counties PUMA",G6120,S,10404607187.000000000000000,247467397.000000000000000,+46.3268203,-119.0119070
12,53,10800,5310800,Grant & Kittitas Counties PUMA,G6120,S,12889811104.000000000000000,381945576.000000000000000,+47.1763396,-120.0122373
13,53,10901,5310901,Yakima County (Central)--Greater Yakima City PUMA,G6120,S,168653758.000000000000000,2339782.000000000000000,+46.6016947,-120.5495957
14,53,10902,5310902,Yakima County (Outer)--Sunnyside & Grandview Cities PUMA,G6120,S,10956369563.000000000000000,38791655.000000000000000,+46.4565581,-120.7401446
15,53,11000,5311000,"Lewis, Klickitat & Skamania Counties PUMA",G6120,S,15358092136.000000000000000,244553173.000000000000000,+46.2871268,-121.7656839
16,53,11101,5311101,Clark County (Southwest)--Vancouver City (West & Central) PUMA,G6120,S,105393158.000000000000000,25240150.000000000000000,+45.6576149,-122.6599638
17,53,11102,5311102,Clark County (West Central)--Salmon Creek & Hazel Dell PUMA,G6120,S,96176134.000000000000000,424941.000000000000000,+45.7004541,-122.6392898
18,53,11103,5311103,"Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities PUMA",G6120,S,194752258.000000000000000,17908999.000000000000000,+45.6090241,-122.3946494
19,53,11104,5311104,Clark County (North)--Battle Ground City & Orchards PUMA,G6120,S,1232791136.000000000000000,26949051.000000000000000,+45.8193225,-122.4476610
20,53,11200,5311200,"Cowlitz, Pacific & Wahkiakum Counties PUMA",G6120,S,6050621920.000000000000000,882198777.000000000000000,+46.3741874,-123.2697606
21,53,11300,5311300,Grays Harbor & Mason Counties PUMA,G6120,S,7411104563.000000000000000,1072203570.000000000000000,+47.2136746,-123.6234225
22,53,11401,5311401,"Thurston County (Central)--Olympia, Lacey & Tumwater Cities PUMA",G6120,S,204727281.000000000000000,16160773.000000000000000,+47.0289873,-122.8349812
23,53,11402,5311402,Thurston County (Outer) PUMA,G6120,S,1665144244.000000000000000,117330811.000000000000000,+46.9165765,-122.8284853
24,53,11501,5311501,Pierce County (Central)--Tacoma City (Central) PUMA,G6120,S,64705530.000000000000000,9519959.000000000000000,+47.2420687,-122.4658175
25,53,11502,5311502,Pierce County (Northwest)--Peninsula Region & Tacoma City (West) PUMA,G6120,S,351348562.000000000000000,243928233.000000000000000,+47.2822884,-122.6738855
26,53,11503,5311503,Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord PUMA,G6120,S,377543134.000000000000000,36818863.000000000000000,+47.0894734,-122.5523993
27,53,11504,5311504,"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA",G6120,S,113261159.000000000000000,1275778.000000000000000,+47.1343280,-122.4122673
28,53,11505,5311505,Pierce County (North Central)--Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA,G6120,S,213509006.000000000000000,26740677.000000000000000,+47.2320641,-122.2738310
29,53,11506,5311506,Pierce County (East Central)--Puyallup City & South Hill PUMA,G6120,S,122869349.000000000000000,601662.000000000000000,+47.1369682,-122.2980657
30,53,11507,5311507,"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA",G6120,S,3080768570.000000000000000,35772836.000000000000000,+46.9585225,-121.9396789
31,53,11601,5311601,Seattle City (Northwest) PUMA,G6120,S,43682049.000000000000000,5716732.000000000000000,+47.6909932,-122.3619886
32,53,11602,5311602,Seattle City (Northeast) PUMA,G6120,S,39485340.000000000000000,15930516.000000000000000,+47.6875388,-122.2847471
33,53,11603,5311603,Seattle City (Downtown)--Queen Anne & Magnolia PUMA,G6120,S,29295195.000000000000000,8308627.000000000000000,+47.6391415,-122.3720415
34,53,11604,5311604,Seattle City (Southeast)--Capitol Hill PUMA,G6120,S,34298193.000000000000000,19694373.000000000000000,+47.5814570,-122.2744307
35,53,11605,5311605,Seattle City (West)--Duwamish & Beacon Hill PUMA,G6120,S,70126868.000000000000000,10095989.000000000000000,+47.5521279,-122.3523950
36,53,11606,5311606,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA",G6120,S,75224578.000000000000000,5586545.000000000000000,+47.7564420,-122.2787890
37,53,11607,5311607,"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA",G6120,S,93716388.000000000000000,10952659.000000000000000,+47.6840980,-122.1662071
